,Entity,Year,Literacy_Rate,Military_Spendings,GDP per capita ($),Child mortality rate (under 5 years - %),GDP,Population,HDI,Life expectancy (years),Obesity_Rate,Tertiary education (%),Internet users (%),Tax revenue of total GDP (%)
0,Africa,1965,,6381006023.0,,,,320147295.0,,43.513,,,,
1,Africa,1966,,6192386843.0,,,,328256593.0,,43.927,,,,
2,Africa,1967,,7801187656.0,,,,336631176.0,,44.335,,,,
3,Africa,1968,,9945752867.0,,,,345280352.0,,44.742,,,,
4,Africa,1969,,13350583559.0,,,,354214821.0,,45.15,,,,
5,Africa,1970,,14449008506.0,,,,363447593.0,,45.563,1.7,,,
6,Africa,1971,,15070656294.0,,,,372983506.0,,45.984,1.7,,,
7,Africa,1972,,14767099144.0,,,,382837766.0,,46.414,1.7,,,
8,Africa,1973,,15808247967.0,,,,393044438.0,,46.85,1.7,,,
9,Africa,1974,,19361016851.0,,,,403645936.0,,47.29,1.7,,,
10,Africa,1975,,22335308902.0,,,,414674675.0,,47.733,1.7,,,
11,Africa,1976,,22207487944.0,,,,426144455.0,,48.175,1.8,,,
12,Africa,1977,,24671060483.0,,,,438054806.0,,48.612,1.9,,,
13,Africa,1978,,22545832201.0,,,,450403896.0,,49.04,1.9,,,
14,Africa,1979,,21026703421.0,,,,463183559.0,,49.452,2.0,,,
15,Africa,1980,,21144748698.0,,,,476386225.0,,49.851,2.1,,,
16,Africa,1981,,19887355214.0,,,,490003904.0,,50.235,2.2,,,
17,Africa,1982,,20508033903.0,,,,504034176.0,,50.606,2.3,,,
18,Africa,1983,,19176186455.0,,,,518479759.0,,50.959,2.4,,,
19,Africa,1984,,19361251062.0,,,,533345151.0,,51.286,2.5,,,
20,Africa,1985,,19327819870.0,,,,548626140.0,,51.571,2.6,,,
21,Africa,1986,,18650158182.0,,,,564327298.0,,51.798,2.7,,,
22,Africa,1987,,18386634044.0,,,,580424290.0,,51.959,2.9,,,
23,Africa,1988,,18470334270.0,,,,596849006.0,,52.054,3.0,,,
24,Africa,1989,,17131567527.0,,,,613512108.0,,52.092,3.1,,,
25,Africa,1990,,17393173589.0,,,,630349685.0,,52.083,3.3,,,
26,Africa,1991,,15869747717.0,,,,647344041.0,,52.047,3.4,,,
27,Africa,1992,,15085619336.0,,,,664512034.0,,52.005,3.6,,,
28,Africa,1993,,17630939914.0,,,,681869333.0,,51.978,3.8,,,
29,Africa,1994,,15042673753.0,,,,699445412.0,,51.982,3.9,,,
30,Africa,1995,,15363295016.0,,,,717270112.0,,52.022,4.1,,,
31,Africa,1996,,15267956315.0,,,,735361106.0,,52.095,4.3,,,
32,Africa,1997,,17379722325.0,,,,753737584.0,,52.195,4.5,,,
33,Africa,1998,,18733496631.0,,,,772437161.0,,52.323,4.7,,,
34,Africa,1999,,24248188937.0,,,,791504165.0,,52.487,4.9,,,
35,Africa,2000,,22204793876.0,,,,810984230.0,,52.705,5.1,,,
36,Africa,2001,,23335905050.0,,,,830902539.0,,52.995,5.3,,,
37,Africa,2002,,27262697001.0,,,,851298437.0,,53.368,5.5,,,
