,Entity,Year,Literacy_Rate,Military_Spendings,GDP_Per_Capita,Child_Mortality_Rate,GDP,HDI,Life_Expectancy,Obesity_Rate
0,Africa,1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Africa,1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Africa,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Africa,1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Africa,1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Africa,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,Africa,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7,Africa,1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8,Africa,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,Africa,1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10,Africa,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Africa,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Africa,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Africa,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Africa,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Africa,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Africa,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Africa,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Africa,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Africa,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Africa,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Africa,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Africa,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Africa,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Africa,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Africa,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
